Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United Kingdom,GBR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,88.3951939695651,87.811993808683,87.8018339118133,88.059169969334,88.5472249810652,88.0812118335469,88.5507810702244,89.5690856512095,89.9598793717778,87.4117429154334,88.0471564659239,85.5149021890224,85.521340980268,84.2622069916402,82.9732271356392,80.0887890113877,0,0,0,0,0,0,0,0,..
United Kingdom,GBR,"Mammal species, threatened",EN.MAM.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,4,..,..
United Kingdom,GBR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,28,28.8,28.7,28.2,28.7,28.7,28.7,28.7,27.8,27.8,27.8,28.4
United Kingdom,GBR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3,19.7,16.6,23.3,28.9,28.8,29,40.3,39.9,39.9,39.9,42.1
United Kingdom,GBR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1,0.8,1,0.9,1.1,1.4,1.6,1.8,2.4,3,3.2,4,4.2,5.2,6.6,7.7,7.7,8.8,10.2,11.4,13.6,12.2,..,..,..
United States,USA,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.2305848555761,45.2900702036254,45.0848730397122,45.0803674339003,45.0758618280884,45.0713562222766,45.0668506164647,45.0623450106528,45.3549551239585,45.576134822715,45.7973145105396,46.0184942092962,46.2396739080528,46.3330187965568,46.4263636850609,46.519708562633,46.613053451137,46.7063983396411,46.5817145490204,46.4570307583996,46.3323469677789,46.2076631880902,46.0829793974695,46.0829793974695,..
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,8055.14548852416,7824.24393877407,7840.46095949898,7791.30391526846,7878.53717143427,7843.3910574627,7694.40657948116,7756.0141894981,7484.83268900712,7053.35846690965,7162.55933024159,7009.64607964907,6820.46062064875,6888.38143742637,6915.64165280321,6789.64733291075,6663.4963294418,6590.83509745633,6738.27272433986,6700.93033990565,6141.53125755889,6445.83409243358,6511.68841394546,6363.50015820072,..
United States,USA,Forest area (% of land area),AG.LND.FRST.ZS,33.1301735880689,33.1867556145437,33.2433376410185,33.2999196674933,33.3565016939681,33.4130837204429,33.4696657469177,33.5262477733925,33.6360635020585,33.6927352193296,33.7494069366007,33.7794700582241,33.8095331798474,33.8395963014708,33.8696594230942,33.8997225447175,33.8997225447175,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375,..
United States,USA,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5,1.6837,1.7273,1.798,1.7255,1.7697,1.7593,1.6319,1.6982,1.6645,1.6176,1.7025,1.7052,1.8396,1.781,1.8277,1.8961,1.8723,1.8068,1.9312,1.9419,1.9165,1.9071,1.9596,1.9692,1.9966
United States,USA,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,21.8573,20.6865,17.1586,15.9645,15.2884,14.9241,14.2924,13.7456,14.6519,13.33,14.15,13.4099,11.8815,12.2803,12.5569,10.8504,10.3464,9.8285,9.2673,7.9082,6.7434,7.599,7.1065,5.7858,5.584
